a52dec 0.8.0-2.1
aalib 1.4rc5-18.1
abseil-cpp 20240722.0-1.1
accounts-qml-module 0.7-6.1
accountsservice 23.13.9-2.1
acl 2.3.2-1.1
acorn 1:8.11.0-1
acpid 2.0.34-2.1
ada 2.9.0-2.1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adobe-source-han-sans-cn-fonts 2.004-2
adobe-source-han-sans-jp-fonts 2.004-2
adobe-source-han-sans-kr-fonts 2.004-2
adw-gtk-theme-git 5.6.r1.gfb65089-1
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
afpfs-ng 0.8.2-4.1
akonadi-mime 24.12.0-1.1
alpm_octopi_utils 1.0.2-9
alsa-card-profiles 1:1.2.7-1.1
alsa-firmware 1.2.4-4
alsa-lib 1.2.13-1.1
alsa-plugins 1:1.2.12-4.1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2.1
amdvlk 2024.Q4.2-1.1
ananicy-cpp 1.1.1-6.1
android-sdk-platform-tools 35.0.2-1
android-tools 35.0.2-7.1
android-udev 20241109-1
anyrun-git r196.d2017f2-1.2
aom 3.11.0-1.1
apparmor 4.0.3-1.1
appstream 1.0.4-1.1
appstream-glib 0.8.3-2.2
appstream-qt 1.0.4-1.1
apr 1.7.5-3
apr-util 1.6.3-2.1
aquamarine-git 0.5.1.r5.ga23e9a9-1
arch-install-scripts 29-1
archlinux-keyring 20241203-2
arduino-cli 1.1.1-1.1
argon2 20190702-6.1
aria2 1.37.0-1.1
aribb24 1.0.3-4.1
ark 24.12.0-1.1
asciinema 2.4.0-3
at-spi2-core 2.54.0-2.1
athena-config 1.0.6-8
athena-cyan-base 7.938493c-1
athena-cyber-hub 23.fab05f4-1
athena-grub-theme 27.efe1abb-1
athena-keyring 1.0.0-2
athena-mirrorlist 1.0.1-1
athena-nighttab 1.0.0-2
athena-powershell-config 1.0.0-1
athena-theme-tweak 1.0.8-3
athena-tmux-config 1.0.0-1
athena-vim-config 1.0.0-1
athena-welcome 20.8ec0c3e-3
atkmm 2.28.4-1.1
attica 6.9.0-1.1
attr 2.5.2-1.1
audiofile 0.3.6-9.2
audit 4.0.2-2.1
autoconf 2.72-1
automake 1.17-1
autowordlists 855.3de9770-1
avahi 1:0.8+r194+g3f79789-2.1
awesome-terminal-fonts 1.1.0-5
axel 2.17.14-1.1
ayatana-ido 0.10.4-1.1
balena-etcher 2:1.19.25-3.5
baloo 6.9.0-1.1
base 3-2
base-devel 1-2
bash 5.2.037-2
bash-completion 2.15.0-1
bashtop 0.9.25-2
bat 0.24.0-2.1
bat-extras 2024.08.24-1
bc 1.07.1-5.1
beeper-latest-bin 3.110.1-1
bibata-modern-ice 2.0.3-1
bind 9.20.4-1.1
binutils 2.43+r4+g7999dae6961-3
bison 3.8.2-8.1
bitwarden 2024.11.2-1.1
blackarch-keyring 20180925-5
blas 3.12.0-5.1
bleachbit 4.6.2-1
bless 0.6.3-2
blosc 1.21.6-1.1
blosc2 2.15.1-2.1
blueberry 1.4.8-2
blueprint-compiler 0.14.0-2
bluez 5.79-1.1
bluez-hid2hci 5.79-1.1
bluez-libs 5.79-1.1
bluez-tools 0.2.0-6.1
bluez-utils 5.79-1.1
bolt 0.9.8-1.1
boost-libs 1.86.0-3.1
borg 1.4.0-2.1
bottles 2:51.17-2
bpf 6.12-3
bpftune-git r592.3f5ae4b-1
brave-bin 1:1.73.101-1
breeze 6.2.4-1.1
breeze-gtk 6.2.4-1
breeze-icons 6.9.0-1.1
bridge-utils 1.7.1-2.1
brightnessctl 0.5.1-3
brltty 6.7-1.1
